GEOID,ATOTAL,area,error
17101,969014647,,
17103,1886921991,,
17105,2708959695,,
17107,1603010593,,
17109,1528352148,,
17111,1582659433,,
17113,3072402142,,
17115,1517090772,,
17117,2247341621,,
17119,1917151442,,
17121,1492099725,,
17123,1032207574,,
17125,1459663364,,
17127,626355210,,
17129,816909768,,
17131,1473016270,,
17133,1031746091,,
17135,1838184804,,
17137,1482649355,,
17139,892238644,,
17141,1977282676,,
17143,1633124118,,
17145,1157786326,,
17147,1138246206,,
17149,2198442241,,
17151,969656219,,
17153,526715719,,
17155,445844354,,
17157,1546344340,,
17159,937358873,,
17161,1168843656,,
17163,1745398150,,
17165,1002149301,,
17167,2271450675,,
17169,1143113517,,
17171,654356586,,
17173,1989278784,,
17175,746840954,,
17177,1462742290,,
17179,1704159360,,
17181,1093271679,,
17183,2334166100,,
17185,589377556,,
17187,1406440947,,
17189,1460506222,,
17191,1853035334,,
17193,1299832896,,
17195,1803692671,,
17197,2199477977,,
17199,1150809387,,
17201,1344666780,,
17203,1405299210,,
18001,880509423,,
18003,1709453951,,
18005,1060683952,,
18007,1052852498,,
18009,428858164,,
18011,1096214075,,
18013,820069853,,
18015,971293728,,
18017,1074450431,,
18019,974870780,,
18021,933227997,,
18023,1049580330,,
18025,799576543,,
18027,1131498802,,
18029,796167173,,
18031,966901564,,
18033,942389381,,
18035,1025400009,,
18037,1127509293,,
18039,1212038056,,
18041,557267963,,
18043,385933859,,
18045,1030503349,,
18047,1012814173,,
18049,961572689,,
18051,1292828975,,
18053,1074586272,,
18055,1413903536,,
18057,1042306784,,
18059,795191300,,
18061,1260082649,,
18063,1058730186,,
18065,1022610030,,
18067,761253147,,
18069,1004190399,,
18071,1331010506,,
18073,1453992407,,
18075,994768675,,
18077,939877956,,
18079,979910600,,
18081,833434677,,
18083,1357269085,,
18085,1435871293,,
18087,1001554883,,
18089,1623021854,,
18091,1588334657,,
18093,1170490061,,
18095,1173016926,,
18097,1043791242,,
18099,1164828560,,
18101,881648957,,
18103,977431578,,
18105,1065317568,,
18107,1309098241,,
18109,1060414803,,
18111,1044889334,,
18113,1081145976,,
18115,226479033,,
18117,1057212231,,
18119,1004478001,,
18121,1165477472,,
18123,1000486297,,
18125,883430222,,
18127,1351466020,,
18129,1086047164,,
18131,1125437623,,
18133,1250171786,,
18135,1174077062,,
18137,1160474218,,
18139,1057907671,,
18141,1194983152,,
18143,499215045,,
18145,1069034171,,
18147,1039689586,,
18149,808608953,,
18151,835184085,,
18153,1176154577,,
18155,578703487,,
18157,1303394304,,
18159,674865637,,
18161,427807078,,
18163,612882755,,
18165,673170407,,
18167,1063061566,,
18169,1090322204,,
18171,948986688,,
18173,1012820290,,
18175,1337984441,,
18177,1047241245,,
18179,958937655,,
18181,1317473075,,
18183,875194496,,
19001,1477002187,,
19003,1102054113,,
19005,1706209714,,
19007,1337066885,,
19009,1148416826,,
19011,1860554179,,
19013,1483231917,,
19015,1485687730,,
19017,1138052051,,
19019,1484309759,,
19021,1502779998,,
19023,1506745813,,
19025,1481768426,,
19027,1476980444,,
19029,1463209623,,
19031,1507184544,,
19033,1489549625,,
19035,1494604307,,
19037,1309648060,,
19039,1118240912,,
19041,1483006111,,
19043,2052991612,,
19045,1839345594,,
19047,1851937132,,
19049,1532253128,,
19051,1307565996,,
19053,1381708033,,
19055,1499378794,,
19057,1113111182,,
19059,1046255194,,
19061,1596626769,,
19063,1042524895,,
19065,1894161662,,
19067,1298574005,,
19069,1508730142,,
19071,1338087157,,
19073,1479558898,,
19075,1299892206,,
19077,1536054351,,
19079,1495749697,,
19081,1484160618,,
19083,1476281803,,
19085,1817226043,,
19087,1130575013,,
19089,1226634320,,
19091,1128391330,,
19093,1119006314,,
19095,1521598541,,
19097,1682473967,,
19099,1898339259,,
19101,1131524625,,
19103,1613726684,,
19105,1494627259,,
19107,1502000887,,
19109,2523487387,,
19111,1395715309,,
19113,1876883604,,
19115,1081368332,,
19117,1125110477,,
19119,1522341535,,
19121,1455983047,,
19123,1485092661,,
19125,1477607672,,
19127,1484579142,,
19129,1141256829,,
19131,1216167453,,
19133,1810230131,,
19135,1124843564,,
19137,1100816216,,
19139,1163239528,,
19141,1484601625,,
19143,1034429074,,
19145,1386856659,,
19147,1474829276,,
19149,2236892066,,
19151,1498713721,,
19153,1532067206,,
19155,2484161917,,
19157,1517907106,,
19159,1395655491,,
19161,1497869637,,
19163,1212660058,,
19165,1531596667,,
19167,1991683303,,
19169,1485744915,,
19171,1870179934,,
19173,1384752244,,
19175,1102811660,,
19177,1270486222,,
19179,1129289485,,
19181,1484970209,,
19183,1478597568,,
19185,1365288070,,
19187,1860867547,,
19189,1040444001,,
19191,1787412366,,
19193,2273584698,,
19195,1041024050,,
19197,1507972867,,
20001,1308786168,,
20003,1511863668,,
20005,1123587660,,
20007,2942652294,,
20009,2332632285,,
20011,1655239486,,
20013,1481746222,,
20015,3746488209,,
20017,2014289863,,
20019,1669937912,,
20021,1530742492,,
20023,2644239942,,
20025,2530903694,,
20027,1698016618,,
20029,1859586538,,
20031,1694094705,,
20033,2045285269,,
20035,2932971100,,
20037,1541072883,,
20039,2315830999,,
20041,2206526681,,
20043,1031529865,,
20045,1229303140,,
20047,1610905658,,
20049,1684697857,,
20051,2331959384,,
20053,1873300824,,
20055,3373874221,,
20057,2846605599,,
20059,1494775650,,
20061,1047875576,,
20063,2775847312,,
20065,2327773210,,
20067,1489617205,,
20069,2251469508,,
20071,2016057905,,
20073,2985288660,,
20075,2583851650,,
20077,2079189624,,
20079,1400464467,,
20081,1496683019,,
20083,2228195493,,
20085,1704266862,,
20087,1441787660,,
20089,2368180730,,
20091,1242998659,,
20093,2255830261,,
20095,2244637047,,
20097,1872224546,,
20099,1691566917,,
20101,1858631440,,
20103,1214556941,,
20105,1865975068,,
20107,1570555933,,
20109,2779314353,,
20111,2215520049,,
20113,2332550760,,
20115,2470155551,,
20117,2344176784,,
20119,2536480655,,
20121,1528754344,,
20123,1862612911,,
20125,1687330099,,
20127,1820474526,,
20129,1890501429,,
20131,1863333386,,
20133,1496480644,,
20135,2784229724,,
20137,2282544177,,
20139,1864390335,,
20141,2316411202,,
20143,1868250805,,
20145,1954523688,,
20147,2316889029,,
20149,2231656459,,
20151,1905512887,,
20153,2770191235,,
20155,3294749474,,
20157,1865950373,,
20159,1885418801,,
20161,1611119131,,
20163,2318416455,,
20165,1859542275,,
20167,2329529638,,
20169,1868191377,,
20171,1858842918,,
20173,2613610666,,
20175,1658654751,,
20177,1439333631,,
20179,2321165646,,
20181,2735741497,,
20183,2323126048,,
20185,2058825173,,
20187,1762281942,,
20189,1884058853,,
20191,3069018593,,
20193,2783713368,,
20195,2330009303,,
20197,2071166099,,
20199,2366489220,,
20201,2327557938,,
20203,1861140184,,
20205,1489434512,,
20207,1308598895,,
20209,404541009,,
21001,1068094587,,
21003,911320879,,
21005,529085179,,
21007,708860779,,
21009,1294993201,,
21011,735567641,,
21013,935287507,,
21015,664354999,,
21017,755269129,,
21019,419635237,,
21021,473554584,,
21023,541173834,,
21025,1282737308,,
21027,1516755886,,
21029,777681570,,
21031,1117515032,,
21033,901699633,,
21035,1063698936,,
21037,412896721,,
21039,515355266,,
21041,355644245,,
21043,1067375686,,
21045,1154463929,,
21047,1875261536,,
21049,660851751,,
21051,1220225145,,
21053,532028454,,
21055,961249948,,
21057,805246885,,
21059,1234314729,,
21061,797726463,,
21063,609484150,,
21065,662026286,,
21067,739538123,,
21069,909909957,,
21071,1024871774,,
21073,549098646,,
21075,597443291,,
21077,271218367,,
21079,605910612,,
21081,675401154,,
21083,1442072897,,
21085,1323554801,,
21087,747965997,,
21089,918037252,,
21091,515113570,,
21093,1632032980,,
21095,1212507595,,
21097,802585387,,
21099,1082222673,,
21101,1206870430,,
21103,754002296,,
21105,655369992,,
21107,1435928830,,
21109,897458820,,
21111,1029996948,,
21113,452037416,,
21115,684108171,,
21117,425527722,,
21119,913880892,,
21121,1004266889,,
21123,682812541,,
21125,1149160068,,
21127,1087970346,,
21129,547157167,,
21131,1047395712,,
21133,878091916,,
21135,1283030532,,
21137,871252792,,
21139,886641363,,
21141,1442703216,,
21143,664414214,,
21145,694549398,,
21147,1116147097,,
21149,663647631,,
21151,1148036294,,
21153,800713813,,
21155,898355505,,
21157,881037655,,
21159,597266908,,
21161,638205936,,
21163,840458077,,
21165,533367896,,
21167,656064309,,
21169,754178405,,
21171,860022785,,
21173,514988817,,
21175,994004180,,
21177,1241640123,,
21179,1098352368,,
21181,509767929,,
21183,1544222029,,
21185,508759830,,
21187,917494418,,
21189,513568754,,
21191,730164658,,
21193,887354217,,
21195,2042378629,,
21197,466512123,,
21199,1753821157,,
21201,259279926,,
21203,823865105,,
21205,741422956,,
21207,732644468,,
21209,739215255,,
21211,998863721,,
21213,612442086,,
21215,496400039,,
21217,716963731,,
21219,976570734,,
21221,1246636726,,
21223,404599830,,
21225,941142161,,
21227,1418185088,,
21229,780101738,,
21231,1253974564,,
21233,869343824,,
21235,1152851927,,
21237,576924295,,
21239,497319485,,
22001,1702799284,,
22003,1983717868,,
22005,784225146,,
22007,944129692,,
22009,2242221106,,
22011,3019501101,,
22013,2129153363,,
22015,2246703822,,
22017,2425746161,,
22019,2834148210,,
22021,1400481132,,
22023,5015958201,,
22025,1915091573,,
22027,1987598599,,
22029,1935502266,,
22031,2316927876,,
22033,1217902780,,
22035,1145893180,,
22037,1180459037,,
22039,1760217872,,
22041,1645775569,,
22043,1721443738,,
22045,2669056555,,
22047,1690899583,,
22049,1502910818,,
22051,1662867560,,
22053,1705743566,,
22055,697238488,,
22057,3804547709,,
22059,1715589615,,
22061,1223703833,,
22063,1790868792,,
22065,1685796939,,
22067,2087749012,,
22069,3364374968,,
22071,906098450,,
22073,1636226205,,
22075,6649071812,,
22077,1529938157,,
22079,3526675735,,
22081,1042066720,,
22083,1462113822,,
22085,2619954442,,
22087,5581954017,,
22089,1028008070,,
