,station_id,stime,air_data_value,RH,UGRD,VGRD,HPBL,TMP,goes_measurement
657,06-065-1016,2019-01-03 23:00:00,2.0,15.0,-7.6200914,2.2932396,250.29506,286.83347,0.021126378
658,06-071-0306,2019-01-03 23:00:00,4.0,17.300001,-0.87009144,-2.5817604,339.73257,285.20847,0.03176066
659,06-073-1201,2019-01-03 23:00:00,4.0,17.800001,2.4424086,-0.019260406,763.92004,292.52097,0.006022621
660,06-079-2004,2019-01-03 23:00:00,6.0,46.5,2.9424086,-1.5192604,232.54506,287.33347,0.0027861
661,06-083-2004,2019-01-03 23:00:00,2.0,28.0,3.1299086,-2.0817604,432.85757,289.77097,-0.0120094195
676,35-001-0023,2019-01-03 23:00:00,4.3,48.3,-0.30759144,-2.1442604,426.98257,270.95847,0.24976341
677,35-001-0026,2019-01-03 23:00:00,3.5,41.5,0.06740856,-2.7067604,473.48257,273.77097,0.27719676
678,35-001-0029,2019-01-03 23:00:00,4.8,39.100002,0.94240856,-2.4567604,593.98254,274.64597,0.9859176
691,48-135-1014,2019-01-03 23:00:00,8.0,22.2,5.4424086,-1.5817604,1192.045,284.77097,0.06358644
692,48-201-1034,2019-01-03 23:00:00,4.0,89.0,3.8174086,-1.0817604,592.35754,281.70847,4.9999730000000000
693,48-273-0314,2019-01-03 23:00:00,7.0,57.600002,2.8174086,-2.8942604,748.73254,288.02097,0.34408483
694,48-303-1028,2019-01-03 23:00:00,4.0,22.1,3.0674086,-3.6442604,1422.2325,282.95847,0.08262026
696,48-479-0313,2019-01-03 23:00:00,10.0,25.4,2.0049086,-3.3942604,659.54504,290.45847,-0.0036869384
743,44-007-0030,2019-01-04 14:00:00,13.0,76.9,0.83282375,2.318922,214.67697,275.08392,0.07568486
747,48-201-1034,2019-01-04 14:00:00,16.0,93.8,1.2078238,1.131422,61.489464,276.89642,-0.05
748,48-273-0314,2019-01-04 14:00:00,8.0,73.200005,3.8328238,0.19392204,37.051964,281.08392,1.0783126
749,48-323-0004,2019-01-04 14:00:00,3.0,83.3,1.7703238,-1.181078,23.051966,273.33392,-0.05
751,48-479-0313,2019-01-04 14:00:00,7.0,88.5,0.45782375,-0.056077957,26.301966,274.89642,-0.05
777,31-055-0019,2019-01-04 15:00:00,4.0,82.4,0.88390064,-0.44550228,40.24198,272.552,0.30647954
784,35-001-0026,2019-01-04 15:00:00,5.9,82.0,1.0714006,0.05449772,66.86698,263.3645,-0.05
785,35-001-0029,2019-01-04 15:00:00,8.3,79.9,0.13390064,0.9919977,42.24198,262.427,-0.05
803,48-201-1034,2019-01-04 15:00:00,14.0,90.3,2.5714006,0.05449772,146.11697,279.4895,0.25099635
804,48-273-0314,2019-01-04 15:00:00,4.0,73.3,3.5714006,-0.32050228,61.42948,282.427,0.70341563
806,48-323-0004,2019-01-04 15:00:00,6.0,74.4,1.6339006,-0.8205023,33.49198,276.927,0.15937203
