vars,AQI,AQI_1m_lag,AQI_2m_lag,BB_g_m-2,BB_g_m-2_1m_lag,BB_g_m-2_2m_lag,C_g_m-2,C_g_m-2_1m_lag,C_g_m-2_2m_lag,DM_kg_m-2,DM_kg_m-2_1m_lag,DM_kg_m-2_2m_lag,NPP_g_m-2,NPP_g_m-2_1m_lag,NPP_g_m-2_2m_lag,PDSI,PDSI_1m_lag,PDSI_2m_lag,Rh_g_m-2,Rh_g_m-2_1m_lag,Rh_g_m-2_2m_lag,SP01,SP01_1m_lag,SP01_2m_lag,burned_frac,burned_frac_1m_lag,burned_frac_2m_lag,pm25_ug_m-3,pm25_ug_m-3_1m_lag,pm25_ug_m-3_2m_lag,precip_in,precip_in_1m_lag,precip_in_2m_lag,smallf_frac,smallf_frac_1m_lag,smallf_frac_2m_lag,temp_F,temp_F_1m_lag,temp_F_2m_lag,ALAND_ATOTAL_ratio,deathRate,month,months_from_start,popuDensity_ALAND_km2,popuDensity_ATOTAL_km2
Rh_g_m-2,0.39634841685875527,0.4439299442495177,0.3854458905296443,0.25369096174944594,0.29163727219832586,0.2967589938257138,0.25369096174944594,0.29163727219832586,0.2967589938257138,0.25365172201080877,0.29161187031172364,0.2967437073201298,0.8672162764902184,0.819945426319365,0.6205937740302344,0.049272685135441203,0.03484677013995874,0.020710553545137005,1.0,0.9034463778589454,0.6938053040366592,0.055509371264514336,0.03515899720768651,0.010332648111890766,0.21403682913474503,0.25515120804360897,0.2645456428986332,0.4698370932693907,0.45810563207057003,0.4042543307956199,0.48988061121940646,0.5024315009274466,0.45595301732397986,0.25065976826503505,0.29639830308277876,0.3064533246256766,0.7529015222772051,0.6568734154965479,0.4302513976217682,-0.20354879942502438,-0.22189495452607222,0.157348268924074,0.006513549960434078,0.292323528101396,0.29779192236934376
Rh_g_m-2_1m_lag,0.25984982634803755,0.39567265138150615,0.44444783383289255,0.19904847789002528,0.2514618501829055,0.2917233737706066,0.19904847789002528,0.2514618501829055,0.2917233737706066,0.19900311922251332,0.25142294804828375,0.29169842804711293,0.7121410647710961,0.8675291594965945,0.8198534704114818,0.057065833226963326,0.052188790751704364,0.03762988580502792,0.9034463778589454,1.0,0.9041125779805815,0.026152320536560848,0.05524166926474257,0.03521550872871544,0.15828714576451997,0.21146207941528888,0.25503803418025384,0.4312963837680455,0.4658034556725976,0.45540361706862664,0.39337221827511515,0.4902658787232938,0.5024762741417628,0.1878035617657226,0.24673775402653633,0.2946618536988657,0.6554467696448952,0.7527743857955053,0.6575999234249452,-0.2035946339269181,-0.2573800891366766,0.3815505935217318,0.018963480211077507,0.29241728331474076,0.2978790370687714
Rh_g_m-2_2m_lag,0.07586452253546631,0.2603498184463939,0.3974064987052547,0.14290738498776176,0.19724610371343237,0.25133892507593686,0.14290738498776176,0.19724610371343237,0.25133892507593686,0.14285995027760778,0.19720133768445522,0.2513002599701547,0.42657638925011854,0.7139754638891914,0.8680198719343734,0.061763596957115134,0.06007250898291726,0.05506304991934036,0.6938053040366592,0.9041125779805815,1.0,0.02374955330058778,0.02563018389648195,0.0557463463946147,0.10353581279466131,0.15619048465027913,0.2112090431647021,0.3604017373097296,0.4275810559126405,0.463670005750949,0.3019138367458449,0.3945026210521418,0.49091142677576965,0.12934850312257956,0.18410239550947732,0.24459269706081083,0.4287950927610024,0.6569167262378195,0.7537338210492153,-0.20334605083958443,-0.2079003509748369,0.5227921060056221,0.030080720046175694,0.29234073889143564,0.2977811080849848
SP01,-0.11206476816276802,0.009146677339976901,0.02541317181023336,-0.10060700709515609,-0.014767015251002557,-0.018250029160004164,-0.10060700709515609,-0.014767015251002557,-0.018250029160004164,-0.10058522238438967,-0.014740523123199904,-0.018230752046830338,-0.0038908723795859396,0.020002359401112457,0.019404680241360977,0.48200426585069933,0.1865100333042213,0.14303286587692793,0.05550937126451434,0.026152320536560848,0.02374955330058778,1.0,0.05953811743507949,0.07437161166849592,-0.09693241021284382,-0.015131967083205557,-0.01988616662889618,-0.09027308928394576,0.013882627551042163,0.01869456508072485,0.6501962170484533,0.03769349057280174,0.05126706393279601,-0.08690470332709153,-0.012758104071859951,-0.02165515208047046,-0.010598384317361965,0.013502218805889685,0.013574482280193508,-0.006606362698407491,0.007259329880894786,0.07876403376751258,0.04068430165950349,0.014408983917820351,0.01388603451425925
SP01_1m_lag,-0.06060765778639561,-0.11134818520495915,0.00972151937333292,-0.06132050427390806,-0.1022819801970446,-0.017073314220032408,-0.06132050427390806,-0.1022819801970446,-0.017073314220032408,-0.06129749933844622,-0.10225834637114938,-0.01704593567113674,0.021238986079905757,-0.003349347127802906,0.01998474416656588,0.40862286392348646,0.4817394362242032,0.18691990125238234,0.035158997207686504,0.05524166926474257,0.02563018389648195,0.059538117435079495,1.0,0.059823451055376335,-0.05811454185186383,-0.09840631607924655,-0.01731481290149237,-0.01972016937348486,-0.09060465530013383,0.014796978188576233,0.03771472795633715,0.6502998000315687,0.03744481864838294,-0.05133747846255815,-0.08867465158707133,-0.015552723215110292,-0.028139379319267015,-0.010195688403307236,0.01306076468753175,-0.006362982309599814,0.020524844787009538,0.025165071180355693,0.03796379120723689,0.014371538170504787,0.013898617100117664
SP01_2m_lag,-0.044857192279246116,-0.06227055537364639,-0.10991025021247214,-0.0616751744214588,-0.06237508701993797,-0.10253539628985896,-0.0616751744214588,-0.06237508701993797,-0.10253539628985896,-0.061654147694720995,-0.06235268590331244,-0.10251305161391595,-0.0067417729302794065,0.01964922679054565,-0.0033031741994897974,0.36058948734915125,0.4081421741198314,0.48106175375417876,0.010332648111890766,0.03521550872871545,0.055746346394614704,0.0743716116684959,0.059823451055376335,1.0,-0.060246668949507816,-0.05931102114898356,-0.09888845863820606,0.0008849518551232245,-0.021805245796788757,-0.09016342962252466,0.04751000619676264,0.0399199897307608,0.6503997835972062,-0.05590389836907465,-0.05280924436333952,-0.08945635840613865,-0.03045133987443217,-0.02980097794008304,-0.010203148046088725,-0.007307166067932291,0.02293737132740161,0.03189363727410014,0.04372541591854383,0.016200929320900177,0.015692857211344398
burned_frac,0.17735211053194255,0.1143575134007325,0.05574973519858188,0.9883818871186782,0.4580848702375459,0.32133157514594407,0.9883818871186782,0.4580848702375459,0.32133157514594407,0.9884278760974141,0.45804372289006984,0.32125895790283576,0.2465987965190142,0.17369134818118429,0.09853913843723641,-0.15446960958571185,-0.13146467118002364,-0.11654089224419403,0.21403682913474503,0.15828714576451997,0.10353581279466131,-0.09693241021284384,-0.05811454185186383,-0.060246668949507816,1.0,0.4614055604318949,0.3216315764217252,0.14318412160127722,0.12703318996229349,0.10405255879011473,0.011597872758444348,0.009526477507355486,-0.0078804009067739,0.9392411872495718,0.4370591530025843,0.3158356423765601,0.3109240559148995,0.23482481656633578,0.14688534805941766,-0.051362831902569274,-0.05609052736623222,-0.04512357892975733,0.03588947524160648,0.015983021333238763,0.022672306885717603
burned_frac_1m_lag,0.1501060678144927,0.17508153450876648,0.11081795890833492,0.46037320866169185,0.9882504618105159,0.46016177016856824,0.46037320866169185,0.9882504618105159,0.46016177016856824,0.4603362313334495,0.9882967400450715,0.460120676492775,0.27170377608734414,0.24353230462101572,0.17041673153286416,-0.14205968438599476,-0.1559016015158514,-0.13265746849130297,0.25515120804360897,0.21146207941528888,0.1561904846502791,-0.015131967083205557,-0.09840631607924655,-0.05931102114898355,0.46140556043189485,0.9999999999999998,0.4634767820492417,0.10674933665653424,0.14346517817966079,0.1253637050332622,0.09392343188266801,0.009436923335820196,0.008526962125779575,0.45142594298362215,0.9387615725661084,0.43953322701435044,0.32799519866332894,0.3080995831289105,0.2321836958067762,-0.050882930950814455,-0.0939014196577925,0.087699673931,0.036562596875590034,0.015621173553321781,0.022337272957340313
burned_frac_2m_lag,0.10366356488745664,0.15030029436288386,0.17356229743316492,0.3235291983687909,0.46228711216758483,0.9882369368105355,0.3235291983687909,0.46228711216758483,0.9882369368105355,0.3234622133770317,0.4622497780768541,0.9882830496600421,0.24965699562313337,0.2724005425736351,0.24294732515685555,-0.13378043367062525,-0.14283323574520726,-0.15618556169223974,0.26454564289863325,0.25503803418025384,0.21120904316470213,-0.01988616662889618,-0.017314812901492366,-0.09888845863820604,0.3216315764217252,0.4634767820492417,1.0,0.08759557034142482,0.1081826210363378,0.14266934968834913,0.09749655560267645,0.09209784106329091,0.009387015869317708,0.3244893201917741,0.4535229460193845,0.9384185218874881,0.3203546575332134,0.3287762213041603,0.3076472319705031,-0.0506779492815705,-0.10185526679309667,0.14212226583294996,0.035759099102229366,0.01558655459123473,0.022294919373656033
pm25_ug_m-3,0.43821363333704866,0.3469259135934743,0.2788240042159477,0.1643145948410557,0.12697349158039317,0.10603365823430479,0.1643145948410557,0.12697349158039317,0.10603365823430479,0.16431150223495203,0.12695309840759325,0.10602630024451465,0.3664942872874346,0.3344218404610925,0.2548149012671985,-0.0289971461161537,-0.002256917365542821,0.00013927367642224784,0.46983709326939077,0.4312963837680455,0.3604017373097296,-0.09027308928394576,-0.01972016937348486,0.0008849518551232245,0.14318412160127722,0.10674933665653424,0.08759557034142482,1.0,0.7118581065771947,0.5973900150042497,0.22020542649107447,0.27632230711208916,0.29268288056986935,0.16860969504136877,0.1371501295063904,0.12194960965311054,0.3947527443310999,0.3151737976078231,0.20552645713079987,-0.14518810563026813,-0.12943450633570341,-0.029365209591789464,-0.26103255093137123,0.4168172923310833,0.423767861203657
pm25_ug_m-3_1m_lag,0.32812330348247565,0.4337475537758383,0.34212537127102677,0.14723514006256105,0.16484318669757567,0.12859035086678325,0.14723514006256105,0.16484318669757567,0.12859035086678325,0.14725956726682338,0.16483886676976808,0.12856967779853212,0.32784068520926174,0.36076116104878014,0.32867740192569544,-0.01347386132513007,-0.031506623989169945,-0.004980636778944285,0.45810563207057003,0.46580345567259757,0.42758105591264045,0.013882627551042163,-0.09060465530013384,-0.021805245796788757,0.12703318996229349,0.14346517817966079,0.10818262103633779,0.7118581065771947,1.0,0.7115995862880612,0.29048819016923183,0.21837380022270264,0.2736713468115676,0.1558915181175486,0.1697342683832417,0.13921836274029825,0.37087811504508583,0.3893140293117275,0.3101937392511287,-0.14566562114880668,-0.1557972628320395,0.09148636929307405,-0.25844127875684153,0.41687609002704834,0.4238402291988697
