GEOID,YYYYMM,deaths
45019,199902,11
45045,199902,18
45079,199902,16
45083,199902,15
45091,199902,13
47037,199902,19
47065,199902,10
47093,199902,18
47157,199902,23
47163,199902,11
48029,199902,63
48039,199902,14
48113,199902,87
48121,199902,18
48135,199902,12
48141,199902,20
48167,199902,10
48181,199902,12
48201,199902,70
48215,199902,18
48245,199902,16
48251,199902,10
48303,199902,23
48309,199902,11
48329,199902,11
48355,199902,10
48423,199902,17
48439,199902,78
48451,199902,11
48453,199902,29
49035,199902,28
51041,199902,11
51059,199902,18
51087,199902,22
51550,199902,12
51650,199902,11
51710,199902,15
51760,199902,16
51810,199902,11
53011,199902,10
53033,199902,75
53035,199902,14
53053,199902,28
53061,199902,18
53063,199902,29
53067,199902,18
53073,199902,10
53077,199902,12
54039,199902,16
55025,199902,20
55059,199902,11
55079,199902,39
55133,199902,15
01003,199903,14
01015,199903,10
01055,199903,14
01073,199903,46
01089,199903,11
01097,199903,10
01117,199903,10
04003,199903,10
04013,199903,172
04015,199903,13
04019,199903,44
04025,199903,10
05119,199903,12
06001,199903,51
06007,199903,22
06013,199903,35
06019,199903,32
06029,199903,27
06037,199903,308
06047,199903,11
06059,199903,86
06061,199903,12
06065,199903,94
06067,199903,62
06071,199903,70
06073,199903,109
06075,199903,35
06077,199903,31
06079,199903,10
06081,199903,30
06083,199903,21
06085,199903,49
06087,199903,13
06089,199903,22
06095,199903,19
06097,199903,20
06099,199903,21
06107,199903,15
06111,199903,21
08001,199903,18
08005,199903,13
08013,199903,10
08031,199903,40
08041,199903,23
08059,199903,28
08101,199903,11
09001,199903,32
09003,199903,46
09005,199903,10
09009,199903,35
09011,199903,12
09015,199903,10
10003,199903,14
10005,199903,12
11001,199903,21
12001,199903,16
12005,199903,12
12009,199903,29
12011,199903,69
12015,199903,19
12021,199903,13
12031,199903,51
12033,199903,12
12053,199903,13
12055,199903,10
12057,199903,57
12061,199903,11
12069,199903,21
12071,199903,31
12081,199903,19
12083,199903,16
12085,199903,11
12086,199903,73
12095,199903,47
12097,199903,11
12099,199903,54
12101,199903,28
12103,199903,92
12105,199903,36
12109,199903,10
12111,199903,12
12115,199903,29
12117,199903,15
12127,199903,44
13021,199903,12
13051,199903,15
13067,199903,12
13089,199903,14
13121,199903,17
13135,199903,17
15003,199903,16
16001,199903,10
17031,199903,225
17043,199903,23
17089,199903,10
17097,199903,21
17119,199903,16
17143,199903,19
17161,199903,11
17163,199903,21
17167,199903,15
17179,199903,10
17197,199903,13
17201,199903,11
18003,199903,15
18035,199903,13
18039,199903,13
18089,199903,23
18095,199903,11
18097,199903,55
18141,199903,20
18163,199903,13
18167,199903,11
19113,199903,18
19153,199903,15
20091,199903,14
20169,199903,10
20173,199903,23
20177,199903,14
21067,199903,11
21111,199903,68
21117,199903,14
22017,199903,13
22051,199903,26
22071,199903,22
23005,199903,14
23019,199903,12
24003,199903,17
24005,199903,41
24021,199903,12
24025,199903,13
24031,199903,24
24033,199903,26
24043,199903,10
24510,199903,33
25001,199903,22
25005,199903,25
25009,199903,34
25013,199903,28
25015,199903,11
25017,199903,63
25021,199903,27
25023,199903,25
25025,199903,27
25027,199903,41
26021,199903,14
26049,199903,20
26075,199903,10
26077,199903,14
26081,199903,26
26099,199903,42
26115,199903,12
26121,199903,10
26125,199903,62
26163,199903,90
27003,199903,10
27037,199903,11
27053,199903,49
27123,199903,19
27137,199903,10
29047,199903,10
29069,199903,11
29077,199903,13
29095,199903,52
29099,199903,11
29183,199903,12
29189,199903,42
29510,199903,17
31055,199903,34
31109,199903,18
32003,199903,64
32031,199903,25
33011,199903,18
33015,199903,18
33017,199903,11
34003,199903,27
34007,199903,18
34011,199903,10
34013,199903,33
34015,199903,14
34017,199903,20
34021,199903,11
34023,199903,33
34025,199903,18
34027,199903,16
34029,199903,28
34031,199903,16
34035,199903,10
34039,199903,13
35001,199903,31
36001,199903,19
36005,199903,32
36007,199903,14
