GEOID,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
04017,28868,27762,28312,30078,31554,31532,35824,38871,39416,34855,37723,32425,34662,37182,35457,37658,37440,40883,40650,40676
04019,37461,36938,36936,37540,38687,41484,43002,43721,46653,43243,44293,44102,44745,43926,45871,47107,47644,51392,53395,56150
04021,35134,34437,35132,37869,40255,41177,43627,49906,50208,49088,49833,45170,50362,49887,49876,50888,52642,53114,58848,62067
04023,31123,30379,30795,32070,32901,33491,34620,35661,38490,35545,33952,35500,36660,35753,37465,34893,39090,39265,40545,47779
04025,34241,33398,34114,35303,37309,40382,40923,44268,42311,40837,40562,41437,43397,40486,44145,47220,49824,49860,48758,54242
04027,31297,30740,32252,32645,34230,35739,37154,39781,39063,38251,40609,37894,39072,40498,39700,40426,42998,46013,44116,47024
05001,31544,30771,30458,32448,33764,34821,33926,37344,37295,37693,38129,37922,37907,38497,36409,41179,39726,43752,43887,52539
05003,32937,31985,31650,32485,33039,32800,33595,35263,36079,35773,37042,37170,39276,36479,36176,39871,41277,40495,41127,47744
05005,30215,29280,29332,30521,31300,31278,33474,35845,34666,33878,34421,33312,35315,36082,37873,36902,40147,43011,39686,41950
05007,41729,41305,42635,45353,47431,48162,46447,49064,51397,49226,52417,52644,52717,56518,57408,60294,64072,64728,68978,70775
05009,31247,30409,30769,31626,32721,33563,35968,36704,35729,37007,35532,38411,35848,38410,39779,40909,39881,41770,44482,50083
05011,25755,25090,25557,26593,27661,27543,28478,30150,30621,29221,31047,31118,31940,31733,32734,37331,34114,35950,37729,39982
05013,29539,29073,29695,29940,30618,31783,33385,34847,34908,34453,36955,35464,36216,37497,39493,40526,33507,42484,44969,48415
05015,28571,28128,27391,27796,29437,30789,30763,32060,33594,35006,33789,33579,34096,34109,36964,37587,37145,38297,45023,43841
05017,22590,21540,20664,22088,22319,23546,23599,24921,24809,25186,27321,27966,26911,28006,29541,29968,29527,31810,31787,37014
05019,29388,28870,29241,29970,30681,31437,32491,33887,34327,33857,33433,34478,34482,36517,38504,37856,37247,40536,45408,44105
05021,26822,25931,25404,27217,28389,28039,27861,29131,31910,30568,31976,32564,32642,33488,33826,35324,36037,35164,37687,40686
05023,31930,31295,31438,32341,33053,34240,36420,37277,36707,37583,35472,42265,41337,41612,40555,43913,42397,43170,44902,46214
05025,33790,33511,33489,34724,36335,36535,40135,37648,39567,38476,40402,41864,41338,42414,43201,44123,45256,47812,47600,53773
05027,29039,28385,28445,29275,30193,30337,30743,36981,35162,32620,34538,33533,35024,36927,37495,38057,35322,38488,40909,42964
05029,31857,31166,31014,31779,32865,33890,35697,36786,36026,36356,37475,37830,35832,38145,42348,43702,41892,43519,44565,46924
05031,34523,33348,33259,34821,35418,34109,38239,39808,39989,39526,37780,39410,42437,41608,42851,42460,44091,49355,45615,47766
05033,34181,33365,33646,35138,36527,35191,38129,37353,42112,39618,39672,37552,39367,39384,43466,46545,42941,44850,47363,44600
05035,30179,29269,29192,30546,31381,31414,33331,35894,35112,34099,33938,34905,36588,37726,35455,37371,37627,39272,42606,41976
05037,29655,28859,28275,30356,30771,31737,32486,33176,34489,35722,35080,35268,35839,35438,38597,39132,40970,41661,41214,45273
05039,27176,26096,26213,26633,27876,28631,30228,31657,31608,30454,31350,30728,30984,32591,34018,33352,33679,33739,37259,41314
05041,25464,24363,23913,25822,25470,25681,26881,28119,27555,28734,29586,30186,30298,30241,33028,30987,32392,33228,36132,37005
05043,29483,28714,28620,29817,30282,31165,32826,33810,34919,31676,34952,35627,33682,35249,36801,39339,40441,41339,42494,44162
05045,39355,38345,38817,40395,41297,42738,42757,45370,43553,48390,46199,49314,49843,49936,51436,51157,50909,51535,53882,58482
05047,31050,30506,29995,31307,33400,32978,34838,36367,38192,31666,38514,38245,39763,38874,40404,41933,40091,41140,43696,45670
05049,26153,25328,25268,26687,27239,28449,29018,30261,30364,30831,30191,33696,31988,33439,33347,34717,33451,35723,35630,32926
05051,32292,31474,31340,32064,32687,32722,34434,36299,38020,37427,36690,35651,39617,39057,40621,37723,42087,44662,43610,45786
05053,38555,38233,39037,40375,40777,41215,46627,46977,45165,48610,45347,46538,47421,47089,46067,47652,54411,54819,52050,58566
05055,31818,31070,31356,33001,34011,34549,35151,37724,37017,37997,36391,37893,38771,40840,42572,43996,45208,46029,46512,47098
05057,28583,27843,26920,27614,28521,30391,30292,33686,34221,30735,31786,30922,32292,33715,33136,34560,38769,39505,38682,40867
05059,32069,31375,31647,32498,33710,34210,35237,37704,37619,36387,37243,38082,41754,39927,37831,39851,46313,42329,47205,45860
05061,29424,28747,27145,27569,29555,30281,32299,32979,33219,31196,32543,33079,33049,32740,37336,33199,36166,36744,40199,41427
05063,32860,32054,31969,32910,33823,32671,34620,36984,36019,34487,35888,34690,37818,37761,41085,38241,42520,42332,45596,47903
05065,26219,25242,25292,26293,27309,27339,30541,31231,30941,30143,29883,31245,29663,33308,32744,35355,36987,37958,37828,40233
05067,26168,25389,24970,26246,26579,27454,27271,29351,30490,28987,30405,32750,30604,32923,32427,32571,35098,36235,36573,38636
05069,31358,30354,30234,31211,32188,32105,33989,36293,38018,34389,35092,37704,36346,36169,35927,36990,38485,38677,38596,40555
05071,28734,27964,28021,28791,30192,30545,29915,31586,34307,32206,32326,34182,34322,33634,34923,35877,37205,39798,39381,40396
05073,25404,24504,23760,24399,25966,26321,27437,28727,28265,27951,29084,30057,28857,30642,32225,33864,32288,33378,35527,37164
05075,28053,26992,26557,27899,28902,29534,28437,31286,31160,31045,32869,32678,29229,34740,34916,34808,39015,40777,40308,39604
05077,21654,20885,20223,21891,21580,22454,22725,24195,25178,23716,25944,27894,26046,27068,28006,28481,26912,28875,28080,30421
05079,29129,27777,26884,28405,30087,32186,34024,30926,34820,33945,35070,35854,36222,36062,37644,40216,35419,43821,44951,44272
05081,30243,29506,29038,30014,31054,33333,32688,33342,34996,34776,37260,38937,35406,36310,37691,39265,43567,42063,43559,43257
05083,29078,28395,28486,29613,30878,31588,32257,34261,37034,32827,36015,34000,33850,34090,36391,37924,39361,37676,41471,42249
05085,40728,40275,40964,42953,44551,45012,48798,47810,49241,50910,50021,49579,51212,55648,54459,56240,56247,54378,56651,62782
05087,29116,28419,28567,28515,31215,33660,32932,34877,33221,33117,34547,34292,33428,36358,39158,41007,39059,40568,42674,48016
05089,27222,26247,26152,27187,28329,28531,31697,31064,32648,33617,31438,32685,31516,34217,33181,34946,33950,39539,36581,38760
05091,31402,30808,30659,32209,33112,32408,38860,37106,38192,38855,37806,37728,38225,40005,40877,39005,38412,44325,42162,50905
05093,28370,27411,26804,27844,28638,29822,29984,31613,34211,33660,32169,33426,34058,34285,33577,34888,35846,39678,36718,39990
05095,23713,22930,22355,24069,24684,27334,25592,27141,27044,26054,28637,27758,29032,29870,30682,30801,32906,32427,32922,34289
05097,28448,27771,27041,27109,28846,31822,31069,34925,34343,32238,32032,31603,32779,31763,34597,37813,36435,35500,38318,39591
05099,27880,26813,26668,27029,29333,28594,30646,32306,31432,31360,32896,31590,32107,33341,30935,35914,37612,46687,37626,36528
05101,25526,24850,25033,25886,26925,27290,28356,28819,29273,29403,30965,31224,29316,31824,35895,33679,33107,34036,36078,37648
05103,29344,28808,28921,29574,30731,31401,31770,33418,34370,32393,35971,35095,32749,35006,34971,37987,36016,39576,37624,46393
05105,31585,31332,31234,32198,33094,38604,35430,37491,37595,37451,39054,38858,40119,42328,40556,43020,43819,44118,45342,50560
05107,22769,22051,21449,22660,23132,24141,24102,26261,26436,24427,26933,26892,26013,25894,28171,28224,29073,27663,29945,31521
05109,28609,28203,28007,29172,30573,31701,30434,33892,37545,33328,31569,30054,33144,35592,36893,36266,34821,37493,41534,44426
05111,27541,26657,26035,27718,28618,29121,29943,30581,31511,31478,32130,30761,32248,34113,35851,32756,36125,39778,37370,40536
05113,26308,25665,25116,25699,27143,28333,30194,30935,30994,29875,29938,31030,31749,31818,33127,34723,32941,35678,39048,39722
05115,33481,32578,32460,32990,34109,33089,37644,38770,40728,38224,39040,38095,40206,39704,39909,41074,42916,45803,45788,47519
05117,30590,29722,28921,30885,31292,32712,31732,34975,34703,34936,36898,36088,36191,38921,39896,39518,40340,43139,43245,46205
