vars,AQI,AQI_1m_lag,AQI_2m_lag,BB_g_m-2,BB_g_m-2_1m_lag,BB_g_m-2_2m_lag,C_g_m-2,C_g_m-2_1m_lag,C_g_m-2_2m_lag,DM_kg_m-2,DM_kg_m-2_1m_lag,DM_kg_m-2_2m_lag,NPP_g_m-2,NPP_g_m-2_1m_lag,NPP_g_m-2_2m_lag,PDSI,PDSI_1m_lag,PDSI_2m_lag,Rh_g_m-2,Rh_g_m-2_1m_lag,Rh_g_m-2_2m_lag,SP01,SP01_1m_lag,SP01_2m_lag,burned_frac,burned_frac_1m_lag,burned_frac_2m_lag,pm25_ug_m-3,pm25_ug_m-3_1m_lag,pm25_ug_m-3_2m_lag,precip_in,precip_in_1m_lag,precip_in_2m_lag,smallf_frac,smallf_frac_1m_lag,smallf_frac_2m_lag,temp_F,temp_F_1m_lag,temp_F_2m_lag,ALAND_ATOTAL_ratio,deathRate,median_inc,month,months_from_start,popuDensity_ALAND_km2,popuDensity_ATOTAL_km2
SP01,0.0,4.29817688782625e-13,3.668031697887211e-90,0.0,1.2966186324722372e-31,2.224509059617704e-47,0.0,1.2966186324722372e-31,2.224509059617704e-47,0.0,1.660065560486692e-31,2.7768252285310963e-47,0.002054612646712104,1.4805796382957863e-56,2.4784064292669875e-53,0.0,0.0,0.0,0.0,2.2640776970147776e-95,5.562883822398543e-79,0.0,0.0,0.0,0.0,4.122290073653629e-33,6.3789649387924505e-56,0.0,3.913349059797182e-28,1.2537220833840841e-49,0.0,4.819920031946926e-196,0.0,0.0,5.147317174924833e-24,5.624548368747832e-66,4.623431270682058e-17,1.0573518401818387e-26,5.6920243332554595e-27,1.6643563400804876e-07,8.889638499726045e-09,2.7671421618942774e-142,0.0,4.553636711665412e-228,3.524013440696794e-30,3.7979531182845e-28
SP01_1m_lag,0.0,0.0,1.3476909503995354e-14,0.0,0.0,1.1005183348720634e-41,0.0,0.0,1.1005183348720634e-41,0.0,0.0,1.4777949454181454e-41,1.5561828967109443e-63,0.007972289555327243,1.8485562339819805e-56,0.0,0.0,0.0,8.077210480799932e-171,0.0,1.1229485550351082e-91,0.0,0.0,0.0,0.0,0.0,8.009138518590701e-43,5.0651854999456485e-55,0.0,9.799656594837869e-32,2.9124589645972095e-196,0.0,1.7202653065193584e-193,0.0,0.0,6.977162985844207e-35,4.092195272839991e-110,6.644939326654954e-16,4.330932917309797e-25,4.641246604283651e-07,1.8738387075904096e-59,1.6635178400204415e-150,1.904108442672824e-88,7.749887009965452e-199,4.954907677222502e-30,3.400279075404803e-28
SP01_2m_lag,7.692049902522866e-277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.261213993051885e-08,1.2214619539118657e-54,0.008879362583893349,0.0,0.0,0.0,2.714572749559437e-16,2.3119090068717334e-171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48328583596731745,7.207939259434722e-67,0.0,0.0,1.1888060827542083e-219,0.0,0.0,0.0,0.0,1.2690774849131273e-128,2.8664880096705858e-123,6.330602757095392e-16,7.0994762347009695e-09,8.513125301547196e-74,4.316273895210692e-168,6.584971142382742e-141,3.849059990513272e-263,1.0488621925170096e-37,1.7500075568485251e-35
burned_frac,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.012134281952764e-20,4.463980782413298e-14,4.301630361725782e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.079568633982824e-280,6.566512118311297e-178,9.603389350189e-37,3.8312795646683107e-72
burned_frac_1m_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.122290073653629e-33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.675803811679127e-14,1.4295454348672984e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4289587536313687e-184,3.555933197253798e-35,4.42237704099578e-70
burned_frac_2m_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3789649387924505e-56,8.009138518591044e-43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0360410992204785e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.240045199152288e-176,5.002176080626676e-35,8.020289396511522e-70
pm25_ug_m-3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.22567828737961e-117,0.07379989560966774,0.9121495260750802,0.0,0.0,0.0,0.0,5.0651854999456485e-55,0.48328583596731745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.552058895028995e-120,0.0,0.0,0.0
pm25_ug_m-3_1m_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3470248515270836e-26,1.4815284904548712e-137,7.963103503825773e-05,0.0,0.0,0.0,3.913349059797182e-28,0.0,7.207939259434722e-67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pm25_ug_m-3_2m_lag,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002012061070143276,4.0315312244213014e-22,1.2641347260413627e-128,0.0,0.0,0.0,1.2537220833840841e-49,9.799656594837869e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
precip_in,0.0,0.0,0.0,1.614109562818339e-173,0.0,0.0,1.614109562818339e-173,0.0,0.0,2.9527839064310178e-173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9124589645972095e-196,0.0,4.0121342819528505e-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07628793456780138,0.0,1.7644382626192543e-168,3.101073966777129e-50,0.0,0.0
